Date,Time,Temp (°C),pH,Moisture (%),N (mg/kg),P (mg/kg),K (mg/kg),COD (mg/L),CH4 (%),CO2 (%),Pressure (psi),Pathogen (CFU/ml),Flow (L/min),UV Intensity (mW/cm²),Opt Temp (°C),pH Adj,Process Time (hrs),Opt NPK,UV Time (min),Pathogen Status
2023-07-10,02:07:13,36.82,7.34,55.22,1497.73,99.35,206.29,19919.15,71.91,33.85,26.79,77.23,2.21,19.43,48.5,0.3,43.28,3:1:1,26.15,Absent
2023-05-30,13:56:41,41.21,6.94,65.66,1182.14,133.53,168.52,18016.69,60.56,29.6,23.97,48.85,3.18,7.74,36.94,-0.13,32.74,2:1:2,14.77,Present
2025-07-28,22:41:22,41.95,6.79,57.12,1332.19,150.56,286.2,18934.39,66.25,25.91,28.28,14.26,3.38,10.52,36.24,0.49,18.94,Optimal,7.11,Present
2025-03-18,09:15:18,40.14,6.91,54.22,905.21,173.61,191.24,14187.22,60.82,39.28,18.0,82.35,1.54,16.54,43.18,0.43,27.78,3:1:1,18.86,Present
2024-02-24,08:39:19,39.58,6.83,64.51,1262.13,89.15,295.23,14249.55,63.23,31.19,12.82,35.53,2.37,19.46,36.5,-0.14,32.88,2:1:2,7.43,Present
2024-07-25,22:48:37,42.88,6.54,47.83,1410.28,138.05,173.62,15769.44,57.96,35.55,13.83,42.33,1.15,12.62,44.29,0.19,71.87,Optimal,22.13,Absent
2023-08-12,20:26:25,42.82,7.38,52.67,1234.24,164.92,177.43,18637.76,62.58,36.07,26.72,37.59,2.29,8.77,53.06,0.21,34.99,Optimal,13.84,Absent
2024-03-04,06:23:25,38.08,6.65,56.8,1471.7,192.31,293.32,14213.04,55.88,29.45,27.29,89.97,1.8,13.95,49.13,-0.19,70.43,Optimal,23.42,Absent
2024-04-24,10:40:12,41.94,6.65,55.17,1029.14,87.69,206.92,10175.39,74.87,38.45,13.28,74.88,2.1,11.21,44.52,0.09,57.49,3:1:1,22.42,Present
2025-09-21,17:46:22,41.63,7.09,70.25,965.74,158.34,154.15,19035.14,69.13,28.18,19.43,25.18,2.97,8.56,38.71,0.16,20.94,Optimal,22.62,Present
2024-01-08,06:45:56,37.94,6.91,55.11,1014.49,133.53,168.01,17476.38,56.89,31.8,13.03,84.44,2.73,12.27,39.07,-0.25,46.36,4:1:1,16.03,Absent
2023-10-10,21:47:41,44.15,6.7,60.43,1168.59,100.01,151.82,14486.85,67.57,27.84,10.31,54.45,1.44,14.64,45.05,0.03,67.14,2:1:2,28.59,Present
2023-02-22,06:04:00,35.39,6.68,67.15,977.22,51.68,189.28,19298.16,60.44,30.83,15.33,38.29,2.03,17.17,40.24,-0.27,17.03,4:1:1,18.58,Present
2025-08-02,01:14:31,38.57,7.43,74.8,832.11,55.05,296.23,14761.67,61.63,35.71,14.92,82.32,1.58,13.34,45.08,-0.06,27.5,Optimal,5.23,Absent
2024-05-10,07:53:47,41.63,7.09,46.79,893.02,135.15,297.5,15062.84,62.5,38.71,10.45,98.59,4.46,8.75,47.73,-0.07,34.07,Optimal,20.94,Absent
2024-08-21,19:13:26,35.36,6.64,77.19,1333.72,98.18,288.97,11532.55,70.82,29.61,10.81,50.93,2.31,15.28,51.84,0.31,39.04,3:1:1,16.52,Absent
2023-05-13,11:07:46,43.69,6.59,53.8,1242.2,80.86,255.78,13450.98,50.52,28.3,15.58,48.82,4.06,9.57,39.6,0.42,68.24,3:1:1,17.78,Present
2023-03-07,00:33:49,44.64,7.19,57.82,1359.41,84.33,259.22,18112.11,63.46,27.82,22.58,39.7,3.6,8.8,37.03,0.31,20.18,2:1:2,29.93,Present
2023-02-20,18:36:21,44.58,6.85,62.19,887.56,160.99,179.13,14617.46,52.79,29.29,17.55,68.82,2.72,15.49,54.82,-0.42,50.2,4:1:1,24.56,Present
2023-01-06,22:01:48,44.72,7.14,55.6,1348.48,128.59,275.4,19121.66,64.16,29.95,10.38,54.87,3.19,17.77,37.44,-0.35,51.15,4:1:1,11.33,Absent
2024-01-14,07:51:14,38.17,7.46,57.84,868.53,109.42,214.73,10400.36,69.95,26.13,16.2,31.89,4.49,11.02,54.54,0.36,66.46,4:1:1,22.74,Absent
2023-08-14,10:56:45,42.52,6.75,70.82,936.62,116.55,232.99,11304.66,69.3,39.91,29.56,54.05,1.96,5.37,35.75,-0.05,44.22,2:1:2,15.58,Present
2024-09-13,02:24:20,39.87,6.63,48.68,1284.41,64.87,265.64,12470.1,59.08,32.67,25.22,66.57,4.1,17.6,37.62,-0.38,67.74,2:1:2,29.97,Absent
2023-08-24,03:11:28,39.83,6.77,61.94,1044.34,54.41,226.02,12833.23,62.09,30.63,11.33,64.29,4.36,15.99,53.14,0.5,54.58,3:1:1,21.01,Absent
2023-07-25,18:46:55,43.91,6.72,64.81,1491.13,81.95,187.35,10970.36,61.15,37.63,26.94,30.86,4.1,10.36,50.83,0.02,36.75,Optimal,20.04,Absent
2023-09-03,18:36:53,38.73,7.39,43.47,1025.49,89.97,296.57,11457.74,56.72,35.17,19.02,88.3,2.27,6.54,42.49,0.29,29.71,2:1:2,11.68,Present
2024-03-07,11:46:53,40.26,6.82,67.93,804.51,103.9,255.27,16393.23,61.8,36.23,20.7,27.99,2.99,19.48,47.55,0.49,60.62,3:1:1,24.35,Absent
2024-09-28,02:38:48,40.75,6.84,49.56,1000.43,115.93,275.22,18119.26,53.46,25.34,19.29,10.36,2.88,12.55,41.65,-0.23,64.95,Optimal,8.61,Absent
2025-02-16,06:16:20,44.88,7.13,50.27,1161.22,196.86,272.85,12192.76,73.44,37.45,13.13,73.17,3.34,13.85,51.16,0.39,61.2,3:1:1,22.3,Present
2025-08-25,04:28:29,44.43,7.42,44.17,1271.27,53.13,292.62,11481.89,57.24,39.53,22.55,57.73,3.53,8.3,37.78,0.26,52.81,2:1:2,17.64,Absent
2023-10-16,20:01:14,42.64,6.87,43.94,851.15,155.58,277.94,11078.01,50.95,36.63,10.15,11.07,1.16,8.7,35.6,-0.25,12.63,2:1:2,21.88,Present
2025-06-08,16:30:47,38.48,7.13,67.34,1016.89,144.55,268.66,11150.19,70.46,27.38,15.32,92.41,3.7,15.3,35.92,-0.08,39.61,2:1:2,17.45,Present
2023-08-20,01:41:20,44.41,6.78,65.4,1004.3,152.57,160.88,14911.47,66.77,29.26,18.82,95.24,1.97,13.94,36.39,0.34,38.39,4:1:1,17.31,Present
2023-04-12,13:57:26,39.66,6.65,73.29,1076.84,151.71,201.58,14006.19,67.56,36.97,23.43,24.56,1.15,8.2,35.37,-0.18,15.17,Optimal,18.67,Absent
2025-05-23,17:41:16,42.44,6.58,59.43,1048.08,103.43,269.36,19473.27,66.09,32.1,19.03,42.16,2.0,6.8,48.26,0.31,61.71,Optimal,14.03,Present
2025-04-28,13:45:57,35.91,7.49,60.81,1437.61,158.75,161.87,15061.59,52.58,29.87,14.67,64.97,2.87,16.71,46.78,0.07,46.85,4:1:1,12.28,Absent
2023-10-04,08:56:04,43.91,7.21,49.09,922.0,177.84,167.21,15885.51,56.3,35.93,12.85,59.85,1.46,19.99,36.42,0.33,54.43,Optimal,26.76,Present
2023-10-20,07:58:11,41.76,7.38,56.61,848.72,109.09,242.44,13980.29,53.85,29.61,12.33,23.84,2.26,7.33,44.35,-0.25,56.73,2:1:2,7.43,Absent
2023-01-22,05:54:13,37.09,6.92,45.2,1005.6,103.57,205.1,19354.79,68.63,31.81,11.59,26.45,4.39,7.41,40.85,-0.45,16.95,Optimal,6.13,Absent
2024-04-10,01:58:40,37.27,7.02,68.12,1338.14,130.23,285.58,18253.31,54.55,31.5,23.66,6.77,4.76,16.36,40.49,-0.48,39.34,4:1:1,19.11,Absent
2023-04-13,13:26:16,37.47,6.68,57.11,1487.33,83.45,203.3,16786.21,57.17,32.08,23.2,84.22,2.68,17.07,37.15,-0.36,46.94,2:1:2,25.65,Absent
2024-04-30,07:32:54,36.87,7.4,71.99,939.1,125.99,227.9,14274.04,68.72,25.11,12.11,68.59,1.61,11.96,47.46,0.06,54.95,Optimal,8.68,Absent
2023-01-31,16:57:59,36.84,7.16,62.74,1094.55,68.54,253.12,18135.97,51.32,27.4,27.99,93.22,2.38,11.65,52.68,-0.47,54.97,3:1:1,5.44,Absent
2025-01-21,09:05:37,41.44,7.43,63.43,1336.89,139.82,164.99,18106.22,53.79,30.15,19.82,27.46,1.01,12.49,42.07,-0.4,30.78,4:1:1,19.31,Present
2024-09-14,20:52:52,38.87,6.65,57.91,1026.17,113.56,165.06,19614.81,67.96,27.7,25.94,3.4,4.41,6.81,49.73,-0.42,53.43,3:1:1,16.05,Absent
2025-04-02,15:36:25,37.61,7.07,52.26,1174.89,52.8,231.42,16042.37,60.82,28.04,14.14,75.35,4.96,7.91,37.49,-0.16,27.84,3:1:1,23.35,Absent
2024-10-01,18:33:37,39.2,6.96,54.98,1218.52,69.09,195.25,15110.73,65.18,36.71,22.1,29.09,3.05,18.83,50.26,0.23,45.64,2:1:2,29.22,Absent
2025-04-25,00:15:20,41.1,6.75,78.52,1293.96,55.82,244.32,11930.12,60.3,37.94,14.72,22.98,4.05,9.67,37.13,0.14,43.08,4:1:1,5.91,Absent
2024-04-30,11:49:52,41.61,6.91,79.39,918.59,114.74,178.51,18019.44,73.97,39.02,27.85,12.35,2.97,8.66,42.4,0.23,54.7,2:1:2,6.47,Present
2025-09-13,17:26:02,37.79,7.5,73.52,1306.63,170.57,272.9,19716.22,63.07,28.7,21.38,18.92,4.77,7.65,36.94,-0.45,40.36,3:1:1,26.89,Absent
2023-06-09,11:04:37,39.28,6.68,46.84,1075.46,144.14,195.71,13076.91,55.04,26.27,23.9,44.74,3.65,10.84,47.25,-0.32,46.79,4:1:1,24.59,Present
2023-11-18,21:55:32,37.07,6.98,64.53,1179.46,89.49,220.94,16696.77,61.45,33.89,17.43,14.89,2.28,10.37,37.39,0.17,66.45,Optimal,19.05,Absent
2025-01-22,15:14:08,40.89,7.47,62.95,1011.18,197.28,298.63,18765.04,56.41,36.76,27.8,20.86,3.27,9.1,52.11,0.17,68.36,3:1:1,22.81,Present
2023-12-23,13:44:23,42.09,6.6,46.32,1326.05,134.0,280.23,10505.58,54.68,38.68,20.5,56.91,2.22,17.65,40.58,0.06,20.65,4:1:1,17.41,Present
2023-08-23,02:26:30,40.65,6.91,62.93,1460.87,101.69,263.02,18245.02,65.22,29.83,13.28,46.34,2.64,10.65,36.99,0.07,65.67,2:1:2,26.65,Absent
2024-05-13,09:52:59,43.31,6.55,72.4,1469.56,192.06,206.59,10782.07,55.0,38.36,19.64,17.01,4.26,8.14,38.99,-0.01,51.66,4:1:1,11.43,Present
2024-12-13,21:50:06,43.17,6.68,54.63,1367.32,58.76,287.59,16959.27,57.54,30.11,20.87,87.6,1.38,12.4,45.25,0.34,47.35,Optimal,8.32,Present
2024-01-24,10:54:39,44.08,7.37,42.39,1486.6,60.91,221.51,18171.46,74.14,26.05,21.97,0.55,4.83,17.71,44.19,-0.28,33.7,Optimal,9.57,Absent
2023-08-02,04:51:55,43.44,6.96,77.84,1109.77,82.6,182.57,16191.16,57.73,39.8,18.48,99.92,3.49,16.17,36.47,-0.38,36.1,2:1:2,10.45,Absent
2025-07-13,06:53:21,37.87,6.6,78.24,1486.82,163.36,264.12,13018.05,62.13,33.59,26.6,71.46,2.14,6.39,50.78,0.42,40.1,2:1:2,14.89,Present
2023-12-27,10:49:44,36.31,6.51,66.98,1227.01,127.22,170.98,12551.99,71.03,38.41,16.99,86.18,3.65,19.12,45.81,-0.38,49.18,3:1:1,9.91,Present
2024-04-04,17:38:12,44.38,6.71,60.62,1411.84,182.41,179.86,19582.36,59.93,29.16,22.49,83.97,2.7,10.69,49.13,0.4,22.98,2:1:2,19.83,Present
2024-02-08,05:48:26,37.63,6.67,46.18,1135.31,140.76,153.63,12004.58,66.28,30.88,12.55,84.51,2.62,14.05,42.66,0.04,63.85,2:1:2,20.2,Absent
2025-04-17,15:39:57,40.18,7.1,56.31,822.5,164.38,271.68,18233.79,58.2,31.29,10.85,80.7,4.58,14.17,51.82,0.34,29.73,4:1:1,25.57,Present
2023-03-05,16:42:32,41.86,6.62,60.92,1209.44,176.64,227.34,19842.18,67.72,27.0,15.7,39.96,4.59,12.46,39.93,0.29,21.41,4:1:1,26.12,Present
2024-04-15,07:21:31,41.77,6.86,67.28,993.56,192.46,228.87,11706.58,61.14,28.05,27.91,84.01,3.98,5.35,45.16,0.03,39.3,3:1:1,8.59,Absent
2025-08-21,02:53:18,43.29,6.6,61.48,1343.75,165.79,236.02,11652.52,53.98,26.65,23.58,90.56,2.44,9.71,46.94,0.35,66.84,3:1:1,26.8,Absent
2024-07-29,14:58:13,39.86,7.12,76.21,1309.87,130.77,228.2,15676.71,72.29,32.31,11.64,13.09,4.06,16.81,45.97,0.39,63.1,2:1:2,19.59,Present
2023-10-03,09:04:55,44.31,7.18,40.07,1492.98,138.0,264.27,11194.88,68.48,29.14,22.95,52.31,4.8,9.39,36.44,-0.41,15.16,3:1:1,6.49,Absent
2025-06-27,17:10:49,41.64,7.1,50.75,1215.26,86.15,288.55,12099.81,56.11,32.4,28.98,6.27,1.77,18.33,50.25,-0.03,67.75,4:1:1,16.27,Absent
2024-01-19,18:17:27,42.82,7.11,74.2,1441.35,60.74,162.33,11514.23,54.18,37.2,21.57,57.28,3.15,9.1,50.5,0.19,64.97,4:1:1,26.85,Absent
2023-04-14,18:35:18,40.86,6.53,44.08,1293.94,146.3,158.51,15725.82,54.7,26.24,18.96,78.53,3.49,13.64,51.07,0.39,55.5,2:1:2,19.23,Present
2023-07-14,02:23:09,44.31,6.79,75.22,852.17,150.88,161.73,10928.46,64.24,37.54,26.7,36.08,1.11,15.75,50.56,-0.31,32.02,Optimal,10.31,Present
2025-08-03,08:14:30,40.89,7.12,49.66,1036.71,56.9,288.02,12463.04,59.99,29.92,28.13,34.4,3.75,15.4,43.2,-0.27,45.96,4:1:1,24.28,Absent
2024-05-21,08:40:23,44.63,7.37,58.71,855.13,80.93,247.46,11060.79,55.88,33.97,20.68,65.42,4.19,16.57,36.99,0.04,57.25,4:1:1,21.3,Present
2023-05-15,19:51:31,37.48,7.32,71.13,959.25,137.61,179.2,17189.23,62.3,35.03,11.74,79.41,2.73,19.25,54.94,-0.26,46.75,Optimal,23.83,Absent
2024-11-26,02:22:46,36.1,6.75,49.63,1324.3,85.77,266.26,14479.84,68.74,30.79,22.61,99.87,3.17,12.65,52.27,0.4,60.64,2:1:2,26.81,Present
2024-09-14,03:08:04,35.96,7.03,54.11,1307.87,129.54,253.24,13272.04,71.5,35.1,19.01,67.08,2.47,14.98,53.73,0.3,47.52,2:1:2,27.69,Absent
2025-09-04,04:10:48,42.11,6.77,79.85,1095.1,77.18,205.71,14754.55,64.77,37.11,23.96,91.78,3.54,8.55,49.58,0.43,55.0,2:1:2,13.11,Present
2025-08-25,10:29:24,42.92,6.63,77.83,1489.69,68.89,254.25,15537.22,72.64,28.19,10.32,62.63,2.01,5.26,50.68,0.21,43.57,3:1:1,17.43,Present
2023-03-30,18:14:31,44.13,6.65,54.41,1342.76,92.97,246.88,11900.53,59.18,27.74,11.54,52.89,4.96,15.1,41.93,-0.29,67.69,2:1:2,22.67,Absent
2025-06-13,16:10:08,44.18,7.33,44.8,1192.92,63.68,257.34,19426.06,64.58,27.73,26.28,76.16,2.36,17.78,50.05,-0.33,57.04,4:1:1,15.44,Present
2023-07-27,01:23:04,35.53,7.05,58.25,1391.23,87.13,163.56,12982.72,59.38,26.08,15.5,28.94,3.65,17.16,45.67,0.1,28.62,2:1:2,15.37,Absent
2023-07-26,17:58:32,36.89,7.37,70.28,1327.48,181.51,299.94,17478.42,65.58,38.63,22.71,71.08,4.93,13.27,35.2,0.05,60.05,3:1:1,28.82,Absent
2023-12-02,19:01:34,44.02,6.56,74.23,1302.06,54.86,187.21,12375.13,72.85,31.43,20.64,95.86,4.8,10.36,36.57,0.5,69.85,2:1:2,6.44,Absent
2025-05-10,14:59:07,40.76,7.4,49.67,1416.64,82.86,237.53,16866.58,64.19,34.87,21.48,63.94,4.06,5.97,42.18,-0.49,65.99,2:1:2,14.33,Present
2024-11-14,17:53:45,37.05,6.81,56.73,857.36,60.72,297.64,10032.27,65.27,28.5,27.66,59.88,4.66,5.25,45.46,-0.31,49.47,2:1:2,11.49,Present
2023-05-03,07:35:39,38.39,6.71,60.47,1009.28,143.71,163.17,13988.85,66.35,29.74,13.11,64.99,2.75,15.16,37.11,-0.34,57.0,Optimal,25.66,Absent
2024-02-13,14:43:29,35.33,6.96,57.43,1263.66,139.95,242.54,13047.83,50.13,27.01,28.34,54.88,1.35,11.45,48.32,-0.26,33.33,2:1:2,13.31,Absent
2023-07-27,17:42:09,38.77,6.72,74.23,829.03,191.61,204.41,14057.84,72.06,29.05,18.67,95.43,2.79,14.54,46.99,-0.3,29.9,3:1:1,27.71,Absent
2023-11-25,06:24:47,39.23,6.9,74.21,1225.63,51.88,270.05,15757.04,64.2,37.94,20.11,5.11,2.36,6.82,45.06,0.06,12.65,Optimal,15.82,Present
2023-05-05,00:58:18,41.11,6.54,71.21,885.43,154.64,226.25,17709.26,54.12,39.09,17.38,37.34,1.94,8.82,48.42,0.48,53.74,4:1:1,8.46,Absent
2023-03-30,22:47:36,43.33,7.29,77.45,807.1,117.05,220.87,13128.62,60.72,34.11,16.94,19.68,3.8,8.32,35.05,-0.26,65.04,4:1:1,12.2,Absent
2024-07-07,12:37:44,42.48,7.06,79.06,1182.34,73.14,250.93,11358.0,55.14,34.86,13.34,57.94,4.64,14.31,49.98,0.37,42.24,Optimal,7.75,Absent
2024-02-18,13:46:22,43.69,6.65,72.29,1040.56,173.09,287.79,13795.75,51.36,27.82,27.71,63.67,4.61,12.06,37.83,0.37,57.84,2:1:2,9.53,Absent
2023-02-12,00:31:06,41.42,7.01,55.65,1397.35,174.11,251.18,14631.52,59.26,26.07,17.17,20.02,2.15,6.87,43.87,0.13,44.55,4:1:1,6.25,Present
2023-11-18,14:52:01,39.95,6.92,65.12,1111.88,50.83,190.41,15534.16,50.49,32.13,22.04,99.21,3.71,15.45,54.49,-0.07,41.9,4:1:1,18.27,Absent
2023-08-01,04:16:11,37.06,6.83,40.88,1449.7,154.52,285.11,17185.11,71.14,39.86,28.25,7.72,2.64,11.17,44.38,-0.15,28.13,Optimal,27.06,Absent
2024-02-04,09:31:43,41.58,6.68,46.41,1160.14,143.17,192.14,19223.2,51.23,30.25,23.93,49.44,2.17,7.48,46.15,0.26,33.08,2:1:2,26.11,Absent
2025-01-29,00:05:11,43.91,6.98,62.55,903.69,126.83,237.86,14855.39,63.69,25.11,14.5,53.94,2.06,19.26,39.45,-0.4,21.9,3:1:1,17.75,Absent
2025-05-12,23:10:50,35.37,6.57,59.05,1453.85,151.92,203.51,10893.4,55.39,33.48,12.51,64.97,1.75,8.39,42.31,0.29,35.89,4:1:1,10.04,Absent
2023-07-20,19:29:44,39.93,7.03,76.78,1327.38,84.9,237.13,15995.54,69.88,33.14,28.75,73.25,4.67,5.0,53.14,-0.02,43.52,3:1:1,9.35,Absent
2024-02-15,07:50:53,37.9,7.44,51.42,1024.64,153.37,264.7,10541.17,58.11,27.4,20.09,87.84,2.65,16.73,50.51,-0.45,64.04,Optimal,11.89,Absent
2023-08-30,12:25:54,41.71,6.79,71.84,1031.42,154.01,229.38,17571.29,54.7,26.04,19.89,8.81,1.93,18.45,51.32,0.49,15.66,4:1:1,9.15,Absent
2023-04-18,20:42:14,39.09,7.05,51.6,1177.43,64.15,184.72,19165.97,70.08,32.99,19.1,22.39,4.83,17.96,49.46,0.41,68.01,2:1:2,19.07,Absent
2023-01-10,02:28:45,44.27,7.27,60.59,975.35,126.01,175.06,16328.97,52.44,37.45,19.53,31.91,1.57,11.91,38.72,-0.11,41.64,3:1:1,29.4,Present
2023-02-25,14:33:57,41.37,6.87,43.89,834.51,120.69,236.84,16042.06,60.93,36.52,17.43,21.61,3.81,18.77,54.85,0.25,57.43,Optimal,25.17,Present
2025-01-23,17:58:48,40.75,7.17,52.45,800.58,197.03,224.87,16467.88,70.43,28.02,17.73,65.1,1.83,12.65,44.92,-0.39,15.54,2:1:2,18.12,Present
2023-12-17,16:46:24,39.71,7.43,63.71,988.01,193.63,281.0,10652.48,63.92,39.12,16.21,49.27,2.65,10.13,38.01,0.33,22.65,3:1:1,24.88,Absent
2023-12-08,16:23:19,42.1,6.84,52.21,994.51,166.07,271.34,14232.02,70.55,36.76,12.97,41.98,4.94,19.45,41.8,0.15,31.0,3:1:1,24.92,Present
2024-11-25,20:06:51,43.75,6.93,47.16,827.33,175.67,223.67,13859.52,60.52,35.8,21.43,75.18,4.42,13.33,45.76,-0.1,36.83,4:1:1,21.23,Present
2023-08-17,21:48:27,41.01,6.77,51.13,1372.16,81.09,213.2,17877.65,72.05,33.75,24.94,24.36,3.59,7.58,50.61,0.45,32.55,Optimal,25.31,Absent
2023-08-01,14:54:25,41.21,6.92,58.41,864.07,169.04,280.2,11964.32,52.04,25.98,18.17,76.69,4.81,15.19,52.61,-0.18,18.1,3:1:1,17.35,Absent
2024-03-27,04:03:01,44.57,6.98,65.74,1193.28,179.64,181.25,11210.98,69.61,35.61,29.5,6.29,1.17,15.53,50.86,0.39,32.32,3:1:1,25.68,Present
2024-09-06,02:03:53,37.95,7.0,65.46,1316.85,84.36,237.68,14354.24,72.04,38.46,14.09,61.26,2.12,6.62,36.67,0.01,38.67,3:1:1,13.63,Present
2025-05-23,00:35:54,40.26,6.53,71.06,1362.14,181.2,290.95,16377.22,53.86,29.43,11.21,66.61,2.91,12.41,54.87,-0.07,25.91,3:1:1,27.04,Present
2024-07-06,13:36:22,39.99,6.56,52.44,944.33,90.09,188.23,13439.97,50.17,30.27,29.24,43.16,2.3,13.27,53.67,0.25,44.13,Optimal,28.51,Present
2023-04-22,23:06:49,42.86,6.87,41.12,1431.5,104.73,199.72,10184.96,74.25,29.88,14.96,16.7,1.32,6.05,37.6,0.35,21.53,2:1:2,12.34,Absent
2023-05-14,09:14:22,44.95,6.65,56.59,1033.83,111.76,294.79,14304.17,63.21,28.0,22.88,72.91,2.83,10.87,43.77,0.39,13.87,2:1:2,22.53,Absent
2025-08-22,15:18:40,35.83,7.1,52.54,1056.76,141.47,159.54,15199.17,61.85,35.11,16.2,47.9,4.73,10.32,40.25,0.27,21.01,4:1:1,27.47,Absent
2024-02-01,18:48:37,35.56,7.03,60.1,911.53,195.86,275.69,17028.58,71.77,27.02,24.45,86.84,1.95,13.37,42.52,-0.17,49.75,Optimal,25.11,Absent
2023-02-12,20:51:42,41.53,7.07,48.29,1014.07,191.45,277.71,14133.98,50.53,26.32,21.61,22.33,1.52,11.22,47.78,0.39,29.99,4:1:1,15.64,Present
2024-07-08,09:59:58,42.84,6.92,48.25,1272.48,98.99,171.23,15277.31,57.45,27.93,24.52,37.3,4.31,13.76,42.33,0.39,70.74,4:1:1,19.33,Absent
2025-07-24,11:58:45,44.3,7.45,62.58,1023.08,109.18,257.16,15332.63,53.34,27.97,29.19,66.69,4.73,14.32,43.15,0.34,27.75,4:1:1,24.51,Present
2023-07-03,22:45:02,38.31,6.52,43.2,1071.44,88.61,204.34,19358.93,73.29,37.21,29.48,61.45,3.17,7.19,40.89,0.43,67.08,2:1:2,25.97,Absent
2023-08-15,23:01:11,43.73,6.51,73.12,1051.54,161.85,235.29,10903.03,54.67,34.46,17.15,24.83,2.64,11.49,48.96,-0.02,41.53,Optimal,16.06,Present
2024-09-30,21:47:45,44.75,6.61,77.17,1396.51,62.68,293.94,15872.03,72.55,28.76,22.48,57.43,2.38,19.49,44.0,0.47,61.77,2:1:2,26.25,Absent
2023-06-09,06:05:56,38.87,6.97,64.32,1141.62,181.29,261.34,14324.49,70.78,39.42,19.99,23.8,1.44,12.67,36.87,0.34,57.83,3:1:1,8.26,Present
2023-01-06,01:38:27,44.81,7.45,65.73,1028.44,154.16,160.07,18794.23,57.44,32.57,20.86,15.17,4.97,6.37,47.76,0.19,19.04,Optimal,16.68,Present
2025-05-08,18:07:03,41.77,6.53,43.82,962.65,122.59,173.64,12424.35,65.85,38.71,14.25,75.89,1.07,8.07,42.01,0.32,21.57,4:1:1,22.62,Present
2023-04-10,11:09:31,41.49,7.12,42.98,936.09,88.87,192.71,15073.33,67.45,25.95,25.18,67.98,3.83,16.01,43.17,0.1,48.63,Optimal,21.14,Present
2025-05-01,04:24:47,43.04,6.61,54.28,846.78,65.25,196.9,18034.63,71.45,28.47,25.94,91.52,3.27,8.62,37.83,-0.46,16.0,3:1:1,19.42,Present
2023-11-16,21:35:10,37.91,6.55,44.92,1155.58,80.37,160.08,12252.89,64.19,26.1,16.55,56.51,2.7,16.26,53.25,-0.47,12.37,3:1:1,9.21,Absent
2024-02-17,02:20:46,36.69,6.93,45.67,1299.49,118.98,206.36,14013.66,56.25,32.5,23.78,86.79,3.23,15.79,47.95,-0.07,67.43,Optimal,20.38,Present
2024-05-01,07:23:52,43.21,7.17,55.07,1114.67,128.53,174.7,11009.17,61.7,33.98,27.5,8.39,2.69,15.28,38.38,0.08,37.88,2:1:2,6.65,Absent
2023-06-25,10:53:59,36.0,7.32,49.66,890.9,177.32,245.15,18549.2,74.97,27.62,22.87,13.15,2.85,16.32,45.15,-0.09,32.69,4:1:1,21.9,Absent
2024-09-20,20:53:13,40.82,6.52,48.61,1475.86,140.75,235.39,12958.0,64.77,26.99,27.04,55.27,4.29,15.43,52.0,-0.08,12.77,2:1:2,15.67,Present
2024-07-09,19:32:19,39.11,6.53,50.24,801.83,183.67,194.58,15227.35,61.97,26.67,11.23,0.01,1.39,12.92,40.65,-0.46,12.43,Optimal,18.67,Present
2025-04-10,14:34:41,42.07,7.45,43.29,1413.1,99.16,159.62,17530.74,68.61,32.35,22.35,99.59,1.81,16.16,42.14,-0.26,14.67,4:1:1,16.9,Absent
2023-01-10,04:01:44,37.81,7.45,65.98,1419.2,163.81,296.75,11732.0,51.92,25.71,11.09,31.08,1.66,19.47,44.98,0.45,71.91,3:1:1,15.94,Present
2024-01-08,12:09:34,38.42,6.94,71.93,873.37,91.3,165.96,18736.45,69.92,30.4,17.06,30.39,3.12,10.34,46.75,-0.28,37.48,3:1:1,29.68,Absent
2023-05-17,04:45:53,43.24,6.93,51.46,800.93,150.0,198.09,19732.21,57.4,31.88,12.75,48.06,2.62,6.69,36.49,-0.36,36.05,3:1:1,7.22,Present
2024-12-23,19:53:06,37.5,7.03,77.32,1248.9,51.57,238.3,14516.2,69.25,39.14,22.92,88.2,1.91,10.39,36.04,-0.42,64.87,Optimal,21.95,Absent
2023-10-06,07:08:56,44.07,7.3,41.07,1362.51,56.5,298.96,17717.5,74.81,29.27,26.81,60.62,2.77,16.13,35.67,-0.38,58.91,Optimal,22.62,Present
2023-03-31,03:18:22,40.0,6.63,51.92,1402.44,52.21,246.45,14593.71,64.26,29.56,15.56,59.16,3.19,5.29,53.43,-0.27,26.45,3:1:1,24.81,Absent
2024-10-27,06:29:43,44.24,6.86,68.69,1030.83,192.37,204.12,10375.27,57.79,27.94,12.87,96.07,3.46,18.05,53.22,-0.33,24.5,3:1:1,27.77,Present
2024-02-26,13:05:25,36.53,6.94,42.52,1001.32,71.1,164.91,11351.32,66.84,28.49,29.56,78.34,1.4,19.29,35.06,0.22,37.99,4:1:1,5.9,Present
2023-11-14,04:02:31,36.39,6.65,76.12,1464.12,123.95,251.73,18878.02,61.96,35.8,13.57,4.27,3.27,7.15,35.82,-0.13,67.66,Optimal,16.19,Present
2024-12-26,14:27:39,39.87,7.18,59.97,811.97,110.1,186.62,14943.5,66.82,33.98,29.2,41.49,3.88,16.11,41.15,-0.3,43.31,2:1:2,8.78,Absent
